区划代码    区县  地级市 省级  上级代码    历史代码    经度  纬度  电话区号    邮编  占地面积    人口总数    政府网址    政府地址
130121  井陉县 石家庄 河北  130100  *   114.14257   38.03688    0311    050300  1381    33  http://www.sjzjx.gov.cn/    河北省石家庄市井陉县建设南路3号
130123  正定县 石家庄 河北  130100  *   114.57296   38.14445    0311    050800  468 49  http://www.zd.gov.cn/   河北省石家庄市正定县常山路1号
130125  行唐县 石家庄 河北  130100  *   114.55316   38.43654    0311    050600  1025    46  http://www.xingtang.gov.cn/ 河北省石家庄市行唐县玉城西大街7号
130126  灵寿县 石家庄 河北  130100  *   114.38259   38.30845    0311    050500  1066    34  http://www.lingshou.gov.cn/ 河北省石家庄市灵寿县人民东路88号
130127  高邑县 石家庄 河北  130100  *   114.61142   37.61556    0311    051330  222 20  http://www.gyx.gov.cn/  河北省石家庄市高邑县府前路151号
130128  深泽县 石家庄 河北  130100  *   115.20358   38.18353    0311    052500  296 26  http://www.shenze.gov.cn/   河北省石家庄市深泽县府前西路27号
130129  赞皇县 石家庄 河北  130100  *   114.38775   37.66135    0311    051230  1210    27  http://www.zanhuang.gov.cn/ 河北省石家庄市赞皇县槐泉西路81号
130130  无极县 石家庄 河北  130100  *   114.97509   38.17653    0311    052460  524 53  http://www.wuji.gov.cn/ 河北省石家庄市无极县建设东路12号
130131  平山县 石家庄 河北  130100  *   114.186 38.25994    0311    050400  2648    50  http://www.xbp.gov.cn/  河北省石家庄市平山县康乐街88号
130132  元氏县 石家庄 河北  130100  *   114.52539   37.76668    0311    051130  675 44  http://www.yuanshi.gov.cn/  河北省石家庄市元氏县常山路89号
130133  赵县  石家庄 河北  130100  *   114.77612   37.75628    0311    051530  674 60  http://www.zhaoxian.gov.cn/ 河北省石家庄市赵县府前街1号
130181  辛集市 石家庄 河北  130100  *   115.20626   37.94079    0311    052360  951 63  http://www.xinji.gov.cn/    河北省石家庄市辛集市市府东大街1号
130183  晋州市 石家庄 河北  130100  *   115.04348   38.03135    0311    052200  619 55  http://www.jzchina.gov.cn/  河北省石家庄市晋州市市府街60号
130184  新乐市 石家庄 河北  130100  *   114.68985   38.34417    0311    050700  525 51  http://www.hebxinle.gov.cn/ 河北省石家庄市新乐市长寿路65号
130200  唐山  唐山  河北  130000  *   118.175393  39.635113   0315    063000  13829   741 http://www.tangshan.gov.cn/ 河北省唐山市路北区西山道3号
